ZINC01027075	Cc1nnc(CSc2nnc3n(N)cnn23)o1
ZINC05640723	CN1C(=O)N[C@]2(C1=O)C(=O)N(C)C(=O)N2C
ZINC01628598	CN(C)c1nnnn1-c1c(N)n(C)c(=O)n(C)c1=O
ZINC09909483	Cc1cc(NC(=O)C(=O)N2CCC3(CC2)OCCO3)no1
ZINC12953313	CCO[C@]1(O)C[C@H](n2cc([N+](=O)[O-])nc2C)[C@H]2CO[C@@H]1O2
ZINC05012735	Cc1ncc2n1C=CN(C(=O)c1ccc([N+](=O)[O-])cc1)[C@@H]2O
ZINC12310026	Cn1c(=O)c2/c(=N/OCCC3OCCO3)cc[nH]c2n(C)c1=O
ZINC16952702	Nc1ncnc2c1ncn2[C@H]1O[C@H](CO)[C@@H]2O[C@@H]21
ZINC19320497	C[C@@]1(N2CCOCC2)C[C@@]2(O)C(=[N+]1[O-])CCc1nonc12
ZINC19321614	CC[C@@]1(N2CCOCC2)C[C@]2(O)C(=[N+]1[O-])CCc1nonc12
ZINC00126332	Cc1nn(Cc2n[nH]c(=S)n2C)c(C)c1[N+](=O)[O-]
ZINC25308567	Cn1cc(NC(=O)CCn2cnc3c(cnn3C)c2=O)cn1
ZINC25491336	CC(=O)Nc1cc(NC(C)=O)nc(NC(C)=O)n1
ZINC27970994	Cc1cc(C(=O)Nc2cc(=O)n(C)c(=O)n2C)nn1C
ZINC28327344	C[C@@H](NS(=O)(=O)c1cn(C)c(=O)n(C)c1=O)[C@@H]1CCCO1
ZINC32547741	Cc1nnc(CNc2ncnc3[nH]cnc23)o1
ZINC34669628	Cn1cc(S(=O)(=O)N=[N+]=[N-])cc1C(N)=O
ZINC36619232	Cc1cc(C(=O)NCc2c(C)nn(C)c2C)n2ncnc2n1
ZINC36814719	Nc1[nH]ncc1-c1nc(-c2ncccn2)no1
ZINC36238172	CC(=O)Nc1nnc(S(=O)(=O)N2[C@@H](C)COC[C@@H]2C)s1
ZINC36378194	O=C1N=CN=C2C1=NCN2[C@@H]1C[C@@H](O)[C@H](CO)O1
ZINC38107458	C[C@@H](NS(=O)(=O)c1cnc(Cl)nc1)c1nncn1C
ZINC08445182	O=[N+]([O-])C[C@@H]1C([N+](=O)[O-])=CN=C2N=NNN21
ZINC39420867	COCC1=NNN(C2CCN(C(=O)[C@@H]3C=CN=N3)CC2)C1
ZINC39431026	CN1C(=O)C2=N/C(=N\CCCO)N[C@@H]2N(C)C1=O
ZINC39560329	CN1C(=O)C2=N/C(=N\[C@H]3CCS(=O)(=O)C3)N[C@H]2N(C)C1=O
ZINC40617999	N#CCN(CC#N)c1nc[nH]c(=O)c1[N+](=O)[O-]
ZINC48010270	Cn1cc(S(=O)(=O)NC2CCN(S(C)(=O)=O)CC2)cn1
ZINC48026316	Cc1cc(NC(=O)C(=O)N(C)Cc2cnn(C)c2)no1
ZINC48645184	CNC(=O)N1CCN(C(=O)C(=O)N2CCOCC2)CC1
ZINC48652891	COC(=O)NNS(=O)(=O)c1cnn(C)c1
ZINC48809488	Cn1c(=O)ccn(CC(=O)NC[C@H]2COCCO2)c1=O
ZINC48889343	Cc1occc1C(=O)NNC(=O)c1cn[nH]n1
ZINC49034277	O=C1CN(C(=O)c2ccc(-n3cnnn3)cc2)CCN1
ZINC49236160	CN(C)C(=O)CCNc1c(C#N)c(=O)n(C)c(=O)n1C
ZINC49346859	CS(=O)(=O)N1CCN(C(=O)c2cn[nH]n2)CC1
ZINC49662511	O=C(CCc1nn2cnnc2s1)N[C@H]1CCS(=O)(=O)C1
ZINC50396591	O=C1NCCC[C@H]1Nc1cncc2nnnn12
ZINC52223615	O=c1cc(Cn2cc(CCO)nn2)nc2scnn12
ZINC59916057	CNS(=O)(=O)c1cnc(N)c([N+](=O)[O-])c1
ZINC61443437	Cc1oc2ncn(C)c(=O)c2c1C(=O)N(C)CC(=O)NC(C)C
ZINC39976375	CC(=O)/N=C1\N=N[C@@H](CCc2nnc(NC(C)=O)s2)S1
ZINC09347654	CN1C(=O)[C@H]2CC[C@]3(C[C@H]2C1=O)[C@@H](C#N)C(=O)NC(=O)[C@H]3C#N
ZINC09347654	CN1C(=O)[C@H]2C[C@]3(CC[C@H]2C1=O)[C@@H](C#N)C(=O)NC(=O)[C@H]3C#N
ZINC09347654	CN1C(=O)[C@H]2CC[C@@]3(C[C@@H]2C1=O)[C@@H](C#N)C(=O)NC(=O)[C@H]3C#N
ZINC09347654	CN1C(=O)[C@@H]2CC[C@@]3(C[C@H]2C1=O)[C@@H](C#N)C(=O)NC(=O)[C@H]3C#N
ZINC04342437	O=[N+]([O-])c1n[nH]c(-c2n[nH]c([N+](=O)[O-])n2)n1
ZINC63847667	COC(=O)CN1CCN(C(=O)Nc2nnc(C)s2)CC1=O
ZINC48235930	Cc1cc(NC(=O)C2=CC=CN3CCS(=O)(=O)N=C23)n(C)n1
ZINC65386938	CC1(C)CNC(=O)[C@H]2N=C(C3=NC(=O)N=N3)N=C2C1
ZINC65685292	O=C1CCN(S(=O)(=O)c2cccc(-n3cnnn3)c2)CCN1
ZINC66101902	COC(=O)N1CCC(NS(=O)(=O)c2cn(C)c(C)n2)CC1
ZINC66659037	COC(=O)N1CCC[C@@H](NC(=O)[C@H]2CCCN2C(=O)OC)C1
ZINC01680422	O=[N+]([O-])c1ccc(S(=O)(=O)[O-])c([N+](=O)[O-])c1
ZINC20215491	O=C([O-])[C@H]1CSCN1C(=O)c1ccc([N+](=O)[O-])[nH]1
ZINC20317162	C[C@@H](C(=O)[O-])n1ccc(C(=O)N2CCC3(CC2)OCCO3)n1
ZINC16916256	O=C1N=C([O-])[C@](Br)([N+](=O)[O-])[C@@H](O)N1
ZINC26272735	N#Cc1nc(NC(=O)c2cc[n+]([O-])cc2)[n-]c1C#N
ZINC26276285	N#Cc1nc(NC(=O)c2ccc(=O)[nH]n2)[n-]c1C#N
ZINC00039789	O=[N+]([O-])c1cccc(/C=N\n2cnnc2)c1[O-]
ZINC12418415	COc1cc(-c2nnn[n-]2)cc([N+](=O)[O-])c1O
ZINC35651746	Cc1cc/c(=N/S(=O)(=O)c2cnn(CC(=O)[O-])c2)[nH]c1
ZINC35775242	Cc1nn(CC(=O)[O-])c(C)c1S(=O)(=O)N1CCOC[C@@H]1C
ZINC23141072	CS(=O)(=O)N1CCC(C(=O)Nc2nc[nH]n2)CC1
ZINC36870426	CN(C(=O)NC(=O)/C=C/C(=O)[O-])[C@H]1CCS(=O)(=O)C1
ZINC37019736	C[C@]1(NS(=O)(=O)c2c[nH]c(C(=O)[O-])c2)CCS(=O)(=O)C1
ZINC37028114	Cn1cc(S(=O)(=O)N[C@@H]2CCCCNC2=O)cc1C(=O)[O-]
ZINC37558451	Cc1cc(C)nc([N-]S(=O)(=O)c2cn(C)nc2N)n1
ZINC37732085	CC(C)N1CCN(S(=O)(=O)c2[nH]ncc2C(=O)[O-])CC1
ZINC37932197	Cc1c(C(=O)N(C)CCC(=O)[O-])cnc2ncnn12
ZINC38030140	CC(=O)N1CCC[C@H](C(=O)Nc2cnn(CC(=O)[O-])c2)C1
ZINC39135908	O=C(N[C@@H](O)C(=O)[O-])c1ccccc1[N+](=O)[O-]
ZINC39217420	COc1cccc([C@H]2CC(=O)N[C@H]3[C@@H]2C(=O)N=C2N=CNN23)c1
ZINC41956892	O=C([O-])C1(Oc2cccnc2[N+](=O)[O-])CCOCC1
ZINC43428189	O=C([O-])COCC(=O)NC(=O)N1CCO[C@H]2CCC[C@@H]21
