ZINC01891926	Cc1ccc(OCC(=O)Nc2sc3c(c2C(N)=O)CCC3)c(Br)c1
ZINC01580935	CC(=O)Nc1c(Cl)cc2c(c1Cl)Cc1cc(N(CCO)CCO)ccc1-2
ZINC02690713	O=C(NC(=S)NNC(=O)C(c1ccccc1)c1ccccc1)C(Cl)Cl
ZINC06453155	NC(=O)c1ccsc1NC(=O)COc1ccc(Cl)cc1Br
ZINC08556714	CC(C)(C)NC(=O)c1ccccc1NC(=S)NC(=O)/C=C/c1cccs1
ZINC00915167	Nc1cccc(C(=O)CC2(O)C(=O)N(CCc3ccccc3)c3ccccc32)c1
ZINC13638209	COCCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1)N2
ZINC13977156	Cc1ccc(C(=O)NC(=S)NNC(=O)C2CC2)cc1I
ZINC14003249	O=C(/C=C/c1cccs1)NC(=S)NNC(=O)Cc1ccc(Cl)cc1
ZINC14018129	O=C(NC(=S)NNC(=O)c1ccccc1Br)c1cccs1
ZINC14474592	COCCCNC(=O)c1cccc2c1NC(c1ccccc1O)C1CC=CC21
ZINC14474595	COCCCNC(=O)c1cccc2c1NC(c1ccccc1O)C1CC=CC21
ZINC16949379	O=C1NC(c2ccccc2)C(C(=O)c2ccccc2)C(O)(C(F)(F)C(F)F)N1
ZINC17853659	CC(NC(=O)CSc1ccc2ccccc2c1)c1ccc(S(N)(=O)=O)cc1
ZINC20117107	CC(C)(C)NC(=O)c1cccc(NC(=S)NC(=O)/C=C/c2cccs2)c1
ZINC22673973	NC(=O)c1c(NC(=O)Cc2cccs2)sc2c1CCN(Cc1ccccc1)C2
ZINC27845402	NS(=O)(=O)c1ccc(CCC(=O)NC2CCCC(C(F)(F)F)C2)cc1
ZINC28335263	Cc1cc(C)cc(C(=O)NCC(=O)NNc2c(F)c(F)c(F)c(F)c2F)c1
ZINC35485126	CCC(C)C(NC(=O)C1Cc2ccccc2CN1)C(=O)NC(C)c1ccccc1
ZINC38079918	Nc1cccc(OCCNS(=O)(=O)c2ccc(Br)s2)c1
ZINC02853814	O=C(NNC(=S)Nc1ccc(Br)cc1Cl)c1ccco1
ZINC40098230	CCCNC(=O)C(C)NC(=O)Nc1ccc(Br)cc1Br
ZINC41222668	CC(CCc1ccc(O)cc1)NC(=O)C(=O)Nc1ccc(Br)cc1
ZINC41740187	CC(C)(C)c1ccc(NC(=O)C(=O)NCC(O)c2ccc(F)c(F)c2)cc1
ZINC43415367	CC(C)CCNC(=O)C(C)Oc1c(N)cc(C#N)cc1I
ZINC36668047	NC(=O)c1cc(-c2ccccc2)sc1NC(=O)C(=O)c1ccc(F)c(F)c1
ZINC45694681	CCC1c2ccsc2CCN1C(=O)Nc1ccccc1SCC(N)=O
ZINC47516592	CC(c1cc(F)ccc1F)N(C)C(=O)Nc1ccccc1SCC(N)=O
ZINC51563298	CC(C)c1ccc(C(O)CN(C)C(C)c2ccc(S(N)(=O)=O)cc2)cc1
ZINC07504497	NC(=O)CSc1ccccc1NC(=O)COc1ccccc1Br
ZINC57897865	CC(NC(=O)Cc1c(Cl)cccc1Cl)c1cccc(S(N)(=O)=O)c1
ZINC57898216	Cc1ccc(CSCC(=O)NC(C)c2cccc(S(N)(=O)=O)c2)cc1
ZINC17851954	Cc1ccc(CSCC(=O)NC(C)c2ccc(S(N)(=O)=O)cc2)cc1
ZINC61227957	CSc1ccc(/C=C/C(=O)NC(C)c2cccc(S(N)(=O)=O)c2)cc1
ZINC61228204	CC(NC(=O)CSc1ccc(Cl)cc1)c1cccc(S(N)(=O)=O)c1
ZINC61228377	CC(NC(=O)CSc1ccccc1Cl)c1cccc(S(N)(=O)=O)c1
ZINC61882176	Nc1cc(Cl)cc(S(=O)(=O)NCCc2ccco2)c1Br
ZINC62825374	C[NH2+]CCCC(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC66428308	NC(=O)c1cccc(OCC(=O)Nc2cc(Br)ccc2Cl)c1
ZINC66929279	CC(C)C(NC(=O)Cc1ccccc1)C(=O)NCC1(O)CCCc2ccccc21
ZINC66929901	CC(NC(=O)c1ccccc1Cl)C(=O)NCC1(O)CCCc2ccccc21
ZINC66955171	CC(CC#N)Sc1ccccc1NC(=O)NCC(O)c1ccc(Cl)cc1
ZINC67008624	Cc1cccc(SC(C)C(=O)NC(C)c2ccc(S(N)(=O)=O)cc2)c1
ZINC67040462	O=C(CCC1CCCCC1)NNC(=O)NC1CCSc2ccc(F)cc21
ZINC67063209	O=C(CCC1CCCCC1)NNC(=O)NC1CCSc2c(F)cccc21
ZINC67130496	CC(NC(=O)CCCCC1SCC2NC(=O)NC21)c1ccc(F)cc1F
ZINC67160702	Cc1cc(C)c(CNC(=O)CCCCC2SCC3NC(=O)NC32)c(C)c1
ZINC67162137	CC(NC(=O)CCCCC1SCC2NC(=O)NC21)c1ccc(Cl)s1
ZINC67196534	C#Cc1cccc(NC(=S)NNC(=O)C2=Cc3cc(Cl)ccc3OC2)c1
ZINC67474535	NS(=O)(=O)c1cc(C(=O)NCCCc2ccc(Cl)c(Cl)c2)cs1
ZINC04299479	OC(C[NH2+]CCNc1ccc(C(F)(F)F)c[nH+]1)CSc1ccc(F)cc1
ZINC04368315	CCOc1ccc(CSCCNC(=[NH2+])NC(N)=[NH2+])cc1Cl
